1;Водитель;УП КораллСтрой;Минск;1200;3
2;Специалист по прямым продажам; Сбер. Начало карьеры;Москва;84000;8
3;Хостес;ООО Омега;Москва;150000;3
4;Кладовщик-комплектовщик-работник склада;ООО Lerteco;Москва;60000;4
5;Упаковщик - сортировщик брендовой одежды (Польша); РЕН-сервис;Минск;896;19
6;Логист / специалист по логистике;ОАО Пивоваренная компания Аливария,часть Carlsberg Group;Минск;1100;9
7;Специалист по работе с клиентами;ЗАО E-dostavka.by;Минск;930;11
8;Менеджер по продажам (без поиска клиентов); Компания Кухонный завод;Москва;180000;7
9;Администратор-охранник; ИНКОМ-НЕДВИЖИМОСТЬ;Москва;100000;11
10;Координатор учебного центра / офис-менеджер;Нек. орг. Португальский культурный центр;Москва;100000;14
11;Продавец-консультант (цифровая и мелкая бытовая техника); Алекс;Москва;115000;19
12;Официант; ЦУМ, Офис;Москва;80000;19
13;Личный помощник руководителя; Зенит-Интер, МАНФС;Москва;100000;3
14;Администратор на Мероприятия;ИП Бражуненко Алексей Владимирович;Москва;60000;12
15;Оператор колл-центра / Менеджер интернет магазина (удаленно); Codika;Москва;30000;10
16;Секретарь на ресепшен;ООО Kyocera Document Solutions Rus;Москва;40000;16
17;АДМИНИСТРАТОР / Менеджер по продажам и работе с клиентами в косметологию (салон красоты);ТОО САЛОН КРАСОТЫ AMELI;Караганда;120000;11
18;Сварщик;ООО Балтийская Транспортная Линия - Сервис;Санкт-Петербург;220000;3
19;Администратор (Оператор) СРОЧНО;ООО Опт-Сити;Москва;40000;12
20;Оператор производственной линии; Завод Тойота в Санкт-Петербурге;Санкт-Петербург;50000;20
21;Юрист в компанию;ООО Азон;Москва;100000;4
22;Начальник производственного отдела;АО Ачинский НПЗ;Ачинск;130000;4
23;Сборщик заказов; Пятёрочка. Склад, логистика;Новосибирск;100000;5
24;Менеджер в сеть ресторанов;ООО MIKA TRADE;Ташкент;3000000;14
25;Дизайнер иллюстратор на YouTube проект; Wylsacom Media;Москва;80000;6
26;Директор; Алекс Ко;Минск;2500;12
27;Комплектовщик-упаковщик на склад детских игрушек;ООО С-Ворк;Москва;90000;16
28;Водитель - курьер на личном легковом автомобиле; Директ-Сервис;Москва;110000;17
29;Заместитель главного бухгалтера;ООО Промкомплект синтез;Москва;90000;6
30;Бухгалтер на первичную документацию несколько юрлиц;ООО Скай Медиа;Москва;55000;12
31;Кладовщик; Мир открыток;Москва;37000;8
32;Водитель автомобиля бизнес класса (Мерседес Бенс w213);ООО Майнкрафт Технолоджи;Сочи;60000;2
33;Оператор 1C;ООО Фритаймторг;Москва;43000;9
34;Ассистент руководителя - Координатор; AFISHA ENTERTAINMENT GROUP;Санкт-Петербург;45000;20
35;Офис-менеджер;ТОО JTS (ДжейТиЭс);Алматы;180000;11
36;Менеджер call-центра по бронированию апартаментов; LuxApartments;Москва;70000;8
37;Пеший курьер; Фреш+;Москва;40000;16
38;Администратор (консультант);ИП Толстыкин Павел Николаевич;Москва;60000;16
39;Менеджер логист в г. Алматы;ТОО Галерея;Алматы;350000;16
40;Теле2 Оператор / оператор - консультант по обслуживанию абонентов;ИП Зейналов;Алматы;100000;12
41;Администратор клиники эстетической медицины и косметологии;ООО Клиника Идеал;Москва;45000;14
42;Менеджер по продажам;ТОО Abay Academy;Алматы;150000;9
43;Сборщик заказов; Пятёрочка. Склад, логистика;Кемерово;100000;12
44;МЕНЕДЖЕР ПО ПРОДАЖЕ ЧАРТЕРНЫХ РЕЙСОВ БИЗНЕС-АВИАЦИИ / БРОКЕР БИЗНЕС-АВИАЦИИ; Авиационный Чартерный Сервис;Москва;250000;4
45;Заведующий складом;ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;170000;6
46;Менеджер по работе с клиентами (услуги по ремонту принтеров);УП ВСЕБАЙ;Минск;1000;19
47;Кассир;ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;180000;17
48;Менеджер по продажам строительных материалов; Element Qurilish;Ташкент;3000000;20
49;Продавец-кассир; Пятёрочка. Магазины;Санкт-Петербург;100000;3
50;Сборщик заказов; Комус;Москва;40000;10
51;Ассистент HR-менеджера; Metabo;Москва;65000;13
52;Специалист по консультированию клиентов сервиса; «Автомобильный дом «Энергия ГмбХ»;Минск;100000;10
53;Менеджер по персоналу; Магазин для Питомников;Москва;80000;2
54;Копирайтер (Департамент Игрушка);ООО Сима-ленд;Екатеринбург;30000;9
55;Комплектовщик/упаковщик (Москва);ООО Энергощит;Москва;60000;2
56;Водитель;ООО ЛТР;Санкт-Петербург;75000;4
57;Кладовщик-комплектовщик;ЗАО E-dostavka.by;Минск;1000;10
58;Сборщик заказов; Пятёрочка. Склад, логистика;Казань;100000;7
59;Помощник менеджера по продажам/оператор 1С;ООО Ситистом;Москва;75000;20
60;Специалист по работе с клиентами; Линдстрём, ИООО;Минск;1100;20
61;Помощник бухгалтера;ООО Сибирь ИмпЭкс;Омск;25000;7
62;HTML Developer; Qulix Systems;Минск;100000;5
63;Бухгалтер;ООО Управляемая энергия;Минск;1000;9
64;Оператор терминала (работник склада); DPD в России;Екатеринбург;33000;1
65;Сборщик заказов; Пятёрочка. Склад, логистика;Пермь;100000;16
66;Ассистент руководителя;ООО Premium trade group;Ташкент;100000;7
67;Сборщик заказов; Пятёрочка. Склад, логистика;Санкт-Петербург;100000;5
68;Начинающий проект-менеджер (Алматы);ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;180000;14
69;Бармен; ЦУМ, Офис;Москва;45000;6
70;Сборщик заказов; Пятёрочка. Склад, логистика;Красноярск;100000;3
71;Заместитель генерального директора по капитальному строительству;ТОО Компания ?нім;Шымкент;400000;6
72;Сборщик заказов; Пятёрочка. Склад, логистика;Омск;100000;3
73;Сборщик заказов; Пятёрочка. Склад, логистика;Самара;100000;7
74;Продавец-консультант;ООО ATTRANERGY TRADING;Ташкент;2000000;1
75;Контент-менеджер (удаленно);ИП Гришин Станислав Александрович;Новосибирск;18000;17
76;Account Manager; Wargaming, Minsk (Game Stream);Минск;100000;1
77;Офис-менеджер / Администратор (Помощник руководителя);ООО АРД;Краснодар;25000;20
78;Junior 3D Artist;ООО FuryLion.SPB;Санкт-Петербург;100000;19
79;Комплектовщик (Алтуфьево); ВкусВилл. Склад ;Москва;55000;16
80;Комплектовщик; ТУТ и ТАМ Логистикс;Минск;850;3
81;Сборщик заказов; Пятёрочка. Склад, логистика;Уфа;100000;17
82;Сборщик заказов; Пятёрочка. Склад, логистика;Екатеринбург;100000;12
83;Специалист по кадрам/экономист;Совместн. п. Тсин Эст Трейд;Борисов;755;9
84;Сборщик заказов; Пятёрочка. Склад, логистика;Воронеж;100000;8
85;Бухгалтер на участок банк-клиент; Магазины;Москва;100000;15
86;Охранник в порт; Кадровое агентство Страж;Тамань;85000;7
87;Администратор-охранник; Технопарк;Москва;50000;7
88;Сборщик заказов; Пятёрочка. Склад, логистика;Ростов-на-Дону;100000;13
89;Менеджер абонентского обслуживания (м. Московская); Контакт Сервис;Санкт-Петербург;32000;6
90;Курьер; Семья;Москва;30000;4
91;Курьер; Docdelivery;Москва;50000;5
92;Заместитель главного бухгалтера; MISSHA;Санкт-Петербург;70000;14
93;Рабочий на производство; БелЭко;Белгород;32000;18
94;Кладовщик-упаковщик; АгроДом;Москва;55000;9
95;Менеджер по продажам моторных масел на входящих заявках; Wecheap;Санкт-Петербург;56000;11
96;Помощник руководителя; WAZZUP;Москва;45000;14
97;Сборщик заказов; Пятёрочка. Склад, логистика;Нижний Новгород;100000;2
98;Архивист;ИП Сафин Марат Рафикович;Казань;32000;6
99;Офис-менеджер;ООО Медицинский центр Юнити;Санкт-Петербург;100000;11
100;Ассистент отдела клиентского сервиса;ООО Инструменты ГРАФФ;Балашиха;45000;19
101;Продавец-кассир; Пятёрочка. Магазины;Новосибирск;100000;10
102;Оператор call-центра;ООО СпецМонтаж;Москва;40000;2
103;Ассистент руководителя - издателя в Алматы; Helvetia;Алматы;50000;9
104;Гейм-дизайнер гиперказуальных игр; КА Натальи Зотовой;Москва;10000;10
105;Оператор терминала (работник склада); DPD в России;Санкт-Петербург;32000;20
106;Специалист отдела рекрутинга;ООО ПромДомСтрой;Минск;1000;12
107;Водитель-курьер с личным легковым автомобилем; Курьерская служба GRASTIN;Санкт-Петербург;65000;20
108;Специалист по подбору персонала;ООО DPD Eurasia;Ташкент;3000000;13
109;Продавец-консультант (магазин на выбор); Rendez-Vous;Москва;80000;19
110;Секретарь на ресепшн;ООО ТК Микскар;Одинцово;35000;1
111;Охранник;ООО ЧОО БИЗНЕС СЕКЬЮРИТИ;Москва;54000;3
112;Рабочий на производство;ОАО Керамин;Минск;1050;8
113;Водитель-экспедитор;ТОО JTS (ДжейТиЭс);Алматы;120000;3
114;Сборщик заказов; Пятёрочка. Склад, логистика;Волгоград;100000;2
115;English Teacher; Люкс Инглиш;Москва;80000;7
116;Помощник бухгалтера;ООО НПК Специальная Металлургия-Москва;Москва;20000;6
117;Специалист по прокату автомобилей;ООО РойсКорп;Минск;1000;9
118;Ведущий экономист; FinHelp;Москва;100000;16
119;Региональный менеджер по работе с клиентами;ООО Фрилайн-Саратов;Москва;70000;17
120;Водитель-курьер с личным легковым автомобилем; Курьерская служба GRASTIN;Москва;170000;11
121;Менеджер ВЭД; ЭксИм Пасифик;Москва;63300;6
122;Категорийный менеджер;ЗАО Партнер Кей Джи;Бишкек;100000;16
123;Системный администратор; Мастер Вин;Уфа;60000;12
124;Помощник по хозяйству в загородный дом (с проживанием);ИП;Москва;100000;4
125;Специалист по кадрам; ЭлитПартнер;Минск;100000;8
126;Экономист-финансист; ГродноАгроинвест;Гродно;1200;11
127;Водитель-курьер суточный!;ООО Подарок бай;Минск;800;19
128;Менеджер по продажам; CREDIX;Санкт-Петербург;100000;14
129;Менеджер по продажам;ООО БухОбслуживание;Оренбург;30000;19
130;Курьер; Семья;Санкт-Петербург;30000;9
131;Руководитель транспортного отдела;ООО В2B;Москва;80000;14
132;Специалист службы Сервиса;ООО MiaSofia;Екатеринбург;37000;17
133;Сборщик заказов; Пятёрочка. Склад, логистика;Челябинск;100000;2
134;Личный охранник/телохранитель; EPAM;Москва;100000;4
135;Упаковщик замороженной продукции; буше;Санкт-Петербург;40000;6
136;Водитель-курьер; Фреш+;Москва;90000;15
137;Специалист телефонных продаж; Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;Минск;900;14
138;Специалист по логистике;ООО Дом Каминов;Москва;50000;10
139;Экономист;ЗАО Волок;Орша;900;3
140;Копирайтер - прототипировщик;ТОО Brainest Digital Agency;Алматы;100000;18
141;Менеджер по работе со спонсорами;Нек. орг. Международный Совет по танцу CID с/o UNESCO. Официальное представительство г. Москва;Москва;150000;14
142;Продавец-кассир; Пятёрочка. Магазины;Красноярск;100000;2
143;HR generalist (HR-специалист широкого профиля);ТОО STEPLine;Алматы;350000;13
144;Помощник бухгалтера;ТОО e-shop;Нур-Султан;150000;8
145;Водитель погрузчика;ООО Модуль;Санкт-Петербург;55000;20
146;Специалист по IT;ТОО Регионбет;Актау;150000;5
147;"Продавец-кассир (ТЦ ""Тринити"")"; Торговая сеть «СПОРТМАСТЕР» (Беларусь);Гродно;720;8
148;Менеджер выездных продаж;ООО ПИК-Аренда;Москва;65000;4
149;Subsidiary Director; LeverX International;Латвия;100000;4
150;HR-специалист;ООО ТК Альянс;Москва;60000;4
151;Специалист по продвижению бренда; Pepsico Беларусь;Минск;100000;12
152;Специалист по доставке банковских карт;  Альфа-Банк;Москва;43000;19
153;Директор по IT / CIO;АО Модный Континент;Москва;100000;14
154;Оператор call-центра;ООО РемакКлининг;Минск;670;7
155;Ассистент менеджера по продажам;ООО ЦЕНТР;Москва;60000;3
156;Remote Data Scientist;ООО MaxinAI;Алматы;1500;16
157;Специалист по размещению рекламных объявлений;ООО Гарант Недвижимость;Минск;1000;2
158;Продавец-кассир; Пятёрочка. Магазины;Кемерово;100000;12
159;Мерчендайзер; Караван;Минск;720;6
160;Региональный менеджер сети магазинов одежды;ООО Марк Формэль;Алматы;100000;2
161;Продавец-консультант; Эра Людей;Москва;45000;7
162;Комплектовщик/оператор склада; YouDo;Уфа;36000;9
163;Сотрудник склада; Lamoda;Екатеринбург;34400;4
164;Комплектовщик заказов на складе;ООО Интес;Москва;40300;2
165;Курьер-экспедитор;ООО Арт Мастерская;Москва;35000;6
166;Специалист по работе с клиентами;АО Citibank;Санкт-Петербург;70000;16
167;Менеджер по внешней логистике и таможенному оформлению;АО Модный Континент;Москва;91000;11
168;Специалист на входящую линию (консультирование физических лиц);ПАО Совкомбанк;Саратов;20000;9
169;Специалист обработки заказов интернет-магазина; НОНТОН.РФ;Санкт-Петербург;35000;8
170;Менеджер по продажам; Алекс;Москва;115000;15
171;Водитель-курьер;ООО Купи Фуд;Санкт-Петербург;70000;18
172;Администратор кафе; Ворлд Класс Фитнес;Минск;700;4
173;Специалист по кадрам; Мелодия здоровья;Новосибирск;40000;6
174;Специалист по работе с клиентами; MANGO OFFICE;Москва;60000;18
175;Кладовщик;ООО ГазТеплоТорг;Минск;700;12
176;Комплектовщик/оператор склада; YouDo;Волгоград;36000;1
177;Администратор сети бьюти коворкингов;ООО АльтИнвест;Москва;100000;15
178;Начинающий специалист/аналитик; Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;Минск;100000;20
179;Кладовщик; ФАРМПЕРСПЕКТИВА;Самара;45000;6
180;Продавец-кассир; Пятёрочка. Магазины;Казань;100000;2
181;Техник по обслуживанию оборудования; Завод Тойота в Санкт-Петербурге;Санкт-Петербург;60000;17
182;Продавец-консультант; ВкусВилл. Магазины;Москва;45000;16
183;Ведущий специалист по кадровому делопроизводству; Группа компаний INCO;Ташкент;4000000;10
184;Менеджер интернет магазина/колл-центра;ТОО e-shop;Нур-Султан;130000;6
185;Продавец-консультант;ТОО АдиАн Ритэйл;Алматы;80000;12
186;Менеджер по закупкам и планированию;ТОО Сика Казахстан;Алматы;100000;11
187;Менеджер по маркетингу; BNS Group;Москва;100000;20
188;Менеджер по обработке заказов в магазине спортивного оборудования;ТОО Ersport.kz;Алматы;150000;6
189;Административный менеджер / Секретарь-делопроизводитель / референт; ECCO;Москва;100000;9
190;Директор филиала (Нижний Новгород, Киров); Белвест;Нижний Новгород;70000;11
191;Пеший Курьер;ООО Курьерская служба Метеор;Москва;35000;13
192;Продавец-кассир; Пятёрочка. Магазины;Москва;100000;15
193;Грузчик-экспедитор (помощник водителя); Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;Витебск;650;19
194;Помощник менеджера по продажам;УП ЗАЛ-ТОВ;Минск;850;13
195;Специалист по заполнению кредитных заявок;ПАО Совкомбанк;Воронеж;45000;1
196;Менеджер по продажам услуг;ООО Ярд Империал;Домодедово;60000;2
197;Водитель (категории B C E); BORK;Москва;75000;17
198;Продавец-кассир; Пятёрочка. Магазины;Самара;100000;4
199;Маркетолог;ООО Вкусные подарки;Ижевск;100000;8
200;Специалист по работе с клиентами; ЦУМ, Интернет-магазин;Краснодар;100000;2
201;Водитель-курьер с личным авто (легковой); City Express;Санкт-Петербург;45000;5
202;Заместитель начальника юридической службы; АйСиЭм;Москва;100000;9
203;Пресс-секретарь/Специалист по работе со СМИ (Специалист по работе с пресс-центрами администраций);Нек. орг. Международный Совет по танцу CID с/o UNESCO. Официальное представительство г. Москва;Москва;75000;19
204;Менеджер по работе с клиентами;ИП Марченко Михаил Александрович;Ростов-на-Дону;30000;3
205;Продавец-кассир; Пятёрочка. Магазины;Екатеринбург;100000;4
206;Продавец-кассир; Пятёрочка. Магазины;Ростов-на-Дону;100000;1
207;Руководитель Регионального операционного офиса, г. Ростов-на-Дону;АО Банк ДОМ.РФ;Ростов-на-Дону;100000;8
208;Бухгалтер-координатор в отдел закупок и логистики;ООО Глобал+М;Москва;60000;10
209;Программист 1С ERP на внедрение;ООО Стилмастер;Москва;400000;10
210;Бариста; Coffee Like (ИП Салахов Руслан Аликович);Барнаул;20000;20
211;Печатник флексографской печати;ООО КиМа флекс;Минск;2325;6
212;Сборщик заказов (м.Выхино); Lamoda;Москва;45000;15
213;Продавец-кассир; Пятёрочка. Магазины;Воронеж;100000;6
214;Менеджер по продажам;ООО Медицинский центр Юнити;Санкт-Петербург;55000;2
215;Кладовщик на склад продуктов питания (Алтуфьево); ВкусВилл. Склад ;Москва;57000;16
216;Специалист дистанционного сервиса; Точка;Екатеринбург;40000;3
217;Комплектовщик товаров (склад); А1. Закупки, продажи, логистика;Минск;100000;7
218;Мерчендайзер; Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;Барановичи;100000;14
219;Руководитель отдела продаж;ООО Нова Систем;Минск;100000;20
220;Торговый представитель (категории ВС);ТОО ПК Деметра;Алматы;150000;7
221;Менеджер интернет-магазина;ООО СМАРТКонсалтинг;Минск;1300;8
222;Продавец-консультант SOKOLOV (Соколов); SOKOLOV;Москва;50000;3
223;Оператор по работе с просроченной задолженностью; Тинькофф;Москва;20000;16
224;Кассир;ООО Safia кондитерский дом;Ташкент;1200000;10
225;Специалист поддержки клиентов;ТОО Технологии и развитие;Алматы;185000;18
226;Охранник в элитный жилой комплекс; Кадровое агентство Страж;Москва;45000;14
227;Полицейский (Москва); 1-й оперативный полк полиции ГУ МВД России по г. Москве (3 батальон 2 рота);Москва;60000;8
228;Продавец-кассир; Пятёрочка. Магазины;Омск;100000;9
229;Кладовщик-комплектовщик; Курьерская служба GRASTIN;Москва;42000;11
230;Охранник;ООО ОА Цитадель;Иркутск;20000;14
231;Пишущий редактор; MANGO OFFICE;Москва;100000;2
232;Менеджер по продажам;ТОО Vector 7;Алматы;500000;7
233;Продавец-кассир; Пятёрочка. Магазины;Уфа;100000;12
234;Медицинская сестра в косметологии;ООО БьютиМедСервис;Москва;55000;16
235;Менеджер по подбору линейного персонала; НРГ;Москва;50000;19
236;Директор-стажер; ЛАБИРИНТ;Москва;65000;5
237;Помощник руководителя;ИП Смирнова Елена Александровна;Ижевск;35000;4
238;Директор салона;ТОО Askona Life Kazakhstan (Аскона Лайф Казахстан);Алматы;300000;9
239;Флорист; Юрова Светлана;Москва;50000;19
240;Секретарь на телефон;ИП Толстыкин Павел Николаевич;Москва;60000;5
241;Специалист по кадровому делопроизводству;Крупный e-commerce проект;Москва;55000;12
242;Сборщик заказов; Пятёрочка. Склад, логистика;Березовский (Кемеровская область);100000;7
243;Менеджер оптового отдела продаж; Гейзер;Москва;60000;2
244;Assistant Product Manager;ООО Амасейлс;Минск;100000;4
245;Упаковщик/оператор производства; YouDo;Санкт-Петербург;35000;10
246;Администратор в балетную школу (Кунцевская, Мытищи); Балет с 2 лет;Москва;50000;5
247;Барбер в премиум барбершоп с обучением; Ахунов Дамир Айратович;Москва;80000;14
248;Economic Specialist in the Economic Section; U.S. Embassy in Kyiv, Ukraine;Киев;100000;4
249;Начальник службы наземного (перронного) обслуживания воздушных судов;ООО ШЕРЕМЕТЬЕВО ХЭНДЛИНГ;Москва;100000;9
250;Секретарь; ГК Правовое решение;Москва;35000;14
251;Ведущий финансовый менеджер;АО Модный Континент;Москва;100000;8
252;Финансовый менеджер (финансовый контролер);ООО Доминоспицца;Минск;2000;18
253;Кассир;ООО Мосплодторг;Москва;40000;11
254;Специалист по кадровому учету;ООО ИЧ и Партнерс Руссия;Москва;100000;5
255;Оператор call-центра; DOMIKUS;Ташкент;200;8
256;Кладовщик; APS;Минск;1000;20
257;Заместитель главного бухгалтера;ООО ЭкоПромМет Плюс;Москва;60000;10
258;Младший художник по персонажам; ZAVOD Games;Москва;50000;15
259;Пеший курьер; Далли-сервис;Москва;40000;11
260;Мерчендайзер (торговый агент); Беллакт-Столица;Минск;840;9
261;Кассир в группу развития; ВкусВилл. Магазины;Москва;55000;2
262;Product Manager; ortnec.com;Кипр;100000;17
263;Менеджер по продажам / Гражданство других стран, Юридическая сфера; Эмиграционный Центр Garant.in;Москва;70000;6
264;Комплектовщик/оператор склада; YouDo;Саратов;36000;19
265;Продавец-кассир; Пятёрочка. Магазины;Челябинск;100000;4
266;Работник цеха нарезки и сборки металлоконструкций /Рабочий; Рекордсмен;Минск;1100;10
267;Мерчендайзер на замену отпусков и больничных; Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;Гомель;100000;5
268;Стажер/аналитик отдела сопровождения сделок; EY;Минск;100000;5
269;Менеджер по продажам;ООО Завод лестниц на металлическом каркасе;Москва;150000;11
270;Мерчендайзер на замену отпусков/больничных; Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;Бобруйск;100000;5
271;Менеджер отдела продаж;ООО НотаГолд;Москва;80000;17
272;Хостес;ООО Парадиз;Москва;80000;2
